year,doy,interval_number,mgmt_river,cumulative_production,cumulative_percent,overall_percent,fish_count
2017,158,1,Aniak,904.607535317713,2.274576350421457,0.15163842336143046,1
2017,161,2,Aniak,979.5059743182804,2.462903565686518,0.16419357104576784,4
2017,164,3,Aniak,2017.4679442102217,5.072790900445323,0.3381860600296882,12
2017,167,4,Aniak,2927.0137917893794,7.359784313341208,0.49065228755608054,26
2017,170,5,Aniak,6831.088840768048,17.176325111399592,1.1450883407599728,48
2017,173,6,Aniak,10326.395914357832,25.96504563013357,1.7310030420089046,73
2017,176,7,Aniak,14709.14463754599,36.985180004873634,2.465678666991576,113
2017,179,8,Aniak,20713.468160905886,52.08265792021843,3.4721771946812288,151
2017,182,9,Aniak,24809.887132558768,62.38283490367339,4.158855660244893,181
2017,185,10,Aniak,27960.962170156345,70.30600653235716,4.687067102157144,198
2017,188,11,Aniak,30398.428759722312,76.43485649558677,5.095657099705784,213
2017,191,12,Aniak,32702.747580687006,82.22891512252104,5.481927674834736,224
2017,194,13,Aniak,36138.26109443334,90.86728865450387,6.05781924363359,240
2017,197,14,Aniak,38274.04833071961,96.23758565903029,6.415839043935352,249
2017,200,15,Aniak,39770.37460844513,100,6.666666666666667,256
2017,158,1,Big River,0,0,0,1
2017,161,2,Big River,690.7569801777656,2.3155173925629304,0.15436782617086203,4
2017,164,3,Big River,1188.2109702758576,3.9830551795506617,0.2655370119700441,12
2017,167,4,Big River,4909.768548393277,16.458254919606276,1.0972169946404182,26
2017,170,5,Big River,6414.958223101614,21.503868602722957,1.4335912401815305,48
2017,173,6,Big River,10644.561777431596,35.682112000533664,2.3788074667022436,73
2017,176,7,Big River,18398.40483740779,61.674116395419055,4.1116077596946035,113
2017,179,8,Big River,22817.44669838445,76.48738442048024,5.099158961365349,151
2017,182,9,Big River,24805.463818980938,83.15150559703265,5.543433706468844,181
2017,185,10,Big River,27137.77118066523,90.96973750167837,6.064649166778558,198
2017,188,11,Big River,28457.505962185918,95.39367953610409,6.359578635740274,213
2017,191,12,Big River,29162.254938840055,97.75610012635802,6.517073341757201,224
2017,194,13,Big River,29258.650754915754,98.07923285624537,6.538615523749691,240
2017,197,14,Big River,29760.04183266114,99.75996833096549,6.650664555397699,249
2017,200,15,Big River,29831.647233415995,100,6.666666666666667,256
2017,158,1,E. Fork Kuskokwim,0,0,0,1
2017,161,2,E. Fork Kuskokwim,58.78174012902183,4.026866142372926,0.26845774282486173,4
2017,164,3,E. Fork Kuskokwim,145.54160017770948,9.97038435364449,0.664692290242966,12
2017,167,4,E. Fork Kuskokwim,336.91785125577405,23.080689428468794,1.5387126285645865,26
2017,170,5,E. Fork Kuskokwim,340.8579997217873,23.350610843161277,1.556707389544085,48
2017,173,6,E. Fork Kuskokwim,464.169826573552,31.79813586391787,2.1198757242611914,73
2017,176,7,E. Fork Kuskokwim,571.829473623699,39.17340217373595,2.61156014491573,113
2017,179,8,E. Fork Kuskokwim,788.9901146391919,54.05007698536749,3.603338465691166,151
2017,182,9,E. Fork Kuskokwim,1021.9532259080854,70.00930621423134,4.667287080948756,181
2017,185,10,E. Fork Kuskokwim,1156.7934636487523,79.24658954057718,5.283105969371812,198
2017,188,11,E. Fork Kuskokwim,1159.6671759818487,79.44345433007925,5.29623028867195,213
2017,191,12,E. Fork Kuskokwim,1226.2322415515491,84.00352023182207,5.600234682121472,224
2017,194,13,E. Fork Kuskokwim,1297.0780910948836,88.85684291719197,5.923789527812798,240
2017,197,14,E. Fork Kuskokwim,1375.0398631666665,94.19764466389388,6.279842977592925,249
2017,200,15,E. Fork Kuskokwim,1459.7391135128048,100,6.666666666666667,256
2017,158,1,George,0,0,0,1
2017,161,2,George,200.25095962572976,1.524637344391467,0.10164248962609779,4
2017,164,3,George,441.1413728967696,3.3586885802274993,0.22391257201516665,12
2017,167,4,George,968.4729764276716,7.373597957559371,0.4915731971706247,26
2017,170,5,George,2505.9071047621933,19.07905740195734,1.2719371601304894,48
2017,173,6,George,4081.797446553495,31.077308347927534,2.071820556528502,73
2017,176,7,George,5741.150258829653,43.71101192590615,2.9140674617270768,113
2017,179,8,George,7926.32096432947,60.348100046242934,4.02320666974953,151
2017,182,9,George,9734.098291315871,74.11185342959257,4.940790228639505,181
2017,185,10,George,10375.4816667835,78.99511115848166,5.266340743898778,198
2017,188,11,George,11166.876107181672,85.02049810409213,5.668033206939476,213
2017,191,12,George,11554.296050960407,87.97017143075722,5.864678095383814,224
2017,194,13,George,12025.870041279122,91.56056279580929,6.104037519720619,240
2017,197,14,George,12529.101198838986,95.39198021878245,6.35946534791883,249
2017,200,15,George,13134.333903231036,100,6.666666666666667,256
2017,158,1,Hoholitna,0,0,0,1
2017,161,2,Hoholitna,646.0956015262219,1.5762977722291942,0.10508651814861295,4
2017,164,3,Hoholitna,1923.546773118728,4.692931643681293,0.3128621095787529,12
2017,167,4,Hoholitna,4528.949323198631,11.049406174307753,0.7366270782871837,26
2017,170,5,Hoholitna,8949.547543247223,21.834465087760414,1.4556310058506943,48
2017,173,6,Hoholitna,13801.753013585514,33.67252845674953,2.244835230449969,73
2017,176,7,Hoholitna,19993.08378169583,48.77769381285554,3.251846254190369,113
2017,179,8,Hoholitna,26951.075762177425,65.75330428306025,4.383553618870683,151
2017,182,9,Hoholitna,32427.05671944015,79.11321040734362,5.274214027156241,181
2017,185,10,Hoholitna,33928.63126143668,82.7766444251484,5.51844296167656,198
2017,188,11,Hoholitna,36317.400467032654,88.6045924381915,5.9069728292127675,213
2017,191,12,Hoholitna,37873.87586196391,92.40196962473178,6.160131308315453,224
2017,194,13,Hoholitna,39276.591604649955,95.82421502470623,6.388281001647083,240
2017,197,14,Hoholitna,39828.062469420925,97.16965414166407,6.477976942777605,249
2017,200,15,Hoholitna,40988.16942515347,100,6.666666666666667,256
2017,158,1,Holitna,202.01760664200492,0.4498431918637992,0.029989546124253277,1
2017,161,2,Holitna,800.7888986919288,1.7831586077298491,0.11887724051532327,4
2017,164,3,Holitna,2140.0882697853417,4.7654467061206205,0.317696447074708,12
2017,167,4,Holitna,3975.0795684482323,8.851517997399732,0.5901011998266488,26
2017,170,5,Holitna,8959.8733364431,19.951419519108658,1.3300946346072438,48
2017,173,6,Holitna,13950.476938058275,31.06425810181637,2.0709505401210917,73
2017,176,7,Holitna,19261.47177299422,42.890528634530305,2.8593685756353535,113
2017,179,8,Holitna,26733.068662540987,59.52792499310343,3.9685283328735625,151
2017,182,9,Holitna,32505.75374600536,72.38226539805609,4.825484359870406,181
2017,185,10,Holitna,34698.025481044024,77.26391176103962,5.150927450735974,198
2017,188,11,Holitna,37535.8835596737,83.58311906859616,5.572207937906411,213
2017,191,12,Holitna,39486.89401987504,87.9275363070991,5.8618357538066075,224
2017,194,13,Holitna,41770.648599226886,93.01289231386407,6.200859487590938,240
2017,197,14,Holitna,43142.555266005314,96.06778878641002,6.404519252427334,249
2017,200,15,Holitna,44908.45038801223,100,6.666666666666667,256
2017,158,1,Holokuk,171.71157615000863,3.3801231175151583,0.22534154116767724,1
2017,161,2,Holokuk,171.71157615000863,3.3801231175151583,0.22534154116767724,4
2017,164,3,Holokuk,384.63910788904866,7.571577698060255,0.5047718465373503,12
2017,167,4,Holokuk,453.33775732826035,8.923902907099679,0.5949268604733119,26
2017,170,5,Holokuk,795.7377754728815,15.66400886103472,1.0442672574023146,48
2017,173,6,Holokuk,1305.47326508243,25.698094802578602,1.7132063201719068,73
2017,176,7,Holokuk,1946.9761292625767,38.32600673364844,2.5550671155765623,113
2017,179,8,Holokuk,2715.646873674012,53.45720412404958,3.5638136082699723,151
