year,mgmt_river,run_start_doy,doy_above_50_percent,actual_percent_at_doy,days_to_50_percent,max_percent_reached,total_production,final_overall_percent
2017,Lower Kusko,158,179,58.60969714801539,21,100,1111.2507597567135,6.666666666666667
2017,Kwethluk,158,182,63.02957117093916,24,100,21925.832216093877,6.666666666666667
2017,Kisaralik,158,179,55.97337869260196,21,100,28790.892559330518,6.666666666666667
2017,Tuluksak,158,179,56.85935657196215,21,100,24155.561574864165,6.666666666666667
2017,Aniak,158,179,52.08265792021843,21,100,39770.37460844513,6.666666666666667
2017,Holokuk,158,179,53.45720412404958,21,100,5080.039104499825,6.666666666666667
2017,Oskakawlik,158,179,58.133378878632605,21,100,6304.010776114962,6.666666666666667
2017,George,158,179,60.348100046242934,21,100,13134.333903231036,6.666666666666667
2017,Middle Kusko Main,158,179,58.11904177289746,21,100,31402.62556713455,6.666666666666667
2017,Hoholitna,158,179,65.75330428306025,21,100,40988.16942515347,6.666666666666667
2017,Holitna,158,179,59.52792499310343,21,100,44908.45038801223,6.666666666666667
2017,Stony,158,179,62.779132514234206,21,100,51479.3854147365,6.666666666666667
2017,Swift,158,176,57.53847155009576,18,100,31065.383302919785,6.666666666666667
2017,Tatlawiksuk,158,176,58.550794938562156,18,100,12861.89160822922,6.666666666666667
2017,Takotna and Nixon Fork,158,179,63.10940262544932,21,100,23668.90299423175,6.666666666666667
2017,Big River,158,176,61.674116395419055,18,100,29831.647233415995,6.666666666666667
2017,Upper Kusko Main,158,176,53.810331785503365,18,100,30657.560085779925,6.666666666666667
2017,S. Fork Kusko,158,176,54.61450440500373,18,100,6710.899675557058,6.666666666666667
2017,E. Fork Kuskokwim,158,179,54.05007698536749,21,100,1459.7391135128048,6.666666666666667
2017,N. Fork Kusko,158,176,52.511970707911274,18,100,1687.0259450724018,6.666666666666667
2018,Lower Kusko,152,176,50.53463107868353,24,100,1035.4099872680856,5.88235294117647
2018,Kwethluk,152,179,58.505577635446684,27,100,26498.699488045862,5.88235294117647
2018,Kisaralik,152,176,51.26383399804014,24,100,29732.644568583877,5.88235294117647
2018,Tuluksak,152,179,63.34064692222804,27,100,22048.59396408612,5.88235294117647
2018,Aniak,152,179,61.098220773460575,27,100,37298.362562466566,5.882352941176471
2018,Holokuk,152,179,63.54864439716146,27,100,5505.225038006478,5.88235294117647
2018,Oskakawlik,152,179,64.2662534315601,27,100,5731.199352056071,5.882352941176471
2018,George,152,176,51.39532217937454,24,100,12101.210568777902,5.88235294117647
2018,Middle Kusko Main,152,179,67.16098704014158,27,100,33011.0004595517,5.88235294117647
2018,Hoholitna,152,176,60.01941722421746,24,100,35768.6274961582,5.88235294117647
2018,Holitna,152,176,52.56556377515819,24,100,39032.404380985005,5.882352941176471
2018,Stony,152,176,57.86115747985263,24,100,47254.36877644959,5.88235294117647
2018,Swift,152,170,52.010667123059015,18,100,27377.517241431153,5.88235294117647
2018,Tatlawiksuk,152,170,56.10714948659006,18,100,11096.956338686161,5.88235294117647
2018,Takotna and Nixon Fork,152,176,57.04957662638448,24,100,21880.930124608465,5.88235294117647
2018,Big River,152,170,55.92446891201378,18,100,28631.954634975475,5.88235294117647
2018,Upper Kusko Main,152,176,68.61947998251443,24,100,26677.016747808608,5.88235294117647
2018,S. Fork Kusko,152,173,53.86468014922205,21,100,5802.59815200685,5.882352941176471
2018,E. Fork Kuskokwim,152,170,57.54331826849556,18,100,1223.6707131823969,5.88235294117647
2018,N. Fork Kusko,152,167,54.85511448965339,15,100,1966.8579133886253,5.88235294117647
2019,Lower Kusko,152,173,58.40325043830232,21,100,1070.6507248719154,8.333333333333332
2019,Kwethluk,152,173,61.90799735732981,21,100,18591.89506029507,8.333333333333332
2019,Kisaralik,152,173,65.13205269437523,21,100,26356.244708210754,8.333333333333332
2019,Tuluksak,152,173,56.05321646142829,21,100,25036.027561286355,8.333333333333332
2019,Aniak,152,173,55.79302405600922,21,100,34613.90083184409,8.333333333333332
2019,Holokuk,152,173,59.10990068612032,21,100,5546.392119738513,8.333333333333332
2019,Oskakawlik,152,173,55.5761600476843,21,100,6514.924624906842,8.333333333333332
2019,George,152,176,75.35229676810174,24,100,15856.853520454202,8.333333333333332
2019,Middle Kusko Main,152,173,63.7404760123783,21,100,32707.320328572518,8.333333333333332
2019,Hoholitna,152,173,57.12786432879066,21,100,48681.33437064826,8.333333333333332
2019,Holitna,152,173,52.47534681148252,21,100,49506.50042842644,8.333333333333332
2019,Stony,152,173,63.216361526319666,21,100,53151.391480435836,8.333333333333334
2019,Swift,152,167,52.910575496583824,15,100,30236.856101014142,8.333333333333332
2019,Tatlawiksuk,152,167,57.01014686377015,15,100,12041.305891813035,8.333333333333332
2019,Takotna and Nixon Fork,152,173,58.76399682441643,21,100,26090.997317105164,8.333333333333334
2019,Big River,152,167,57.93641990613276,15,100,30962.135163163442,8.333333333333334
2019,Upper Kusko Main,152,170,53.217351540717914,18,100,32134.89021769063,8.333333333333332
2019,S. Fork Kusko,152,170,58.982426290831114,18,100,6532.464916778977,8.333333333333332
2019,E. Fork Kuskokwim,152,167,73.45741708811767,15,100,876.6654851578882,8.333333333333334
2019,N. Fork Kusko,152,167,65.62476345044217,15,100,1385.8079117091606,8.333333333333332
2020,Lower Kusko,153,180,54.53623228380617,27,100,1121.7545091273648,5.88235294117647
2020,Kwethluk,153,183,62.91443608167692,30,100,18645.462874496814,5.88235294117647
2020,Kisaralik,153,180,61.69035218231451,27,100,23963.922469353078,5.88235294117647
2020,Tuluksak,153,180,60.93431263781888,27,100,23720.001561690417,5.88235294117647
2020,Aniak,153,180,57.07650424535251,27,100,30714.6864887987,5.88235294117647
2020,Holokuk,153,177,51.44692304087635,24,100,5257.448909155945,5.88235294117647
2020,Oskakawlik,153,180,60.23230679282959,27,100,6093.631536715954,5.88235294117647
2020,George,153,186,61.49583939746777,33,100,15070.094653723427,5.882352941176471
2020,Middle Kusko Main,153,180,63.39567016558517,27,100,33266.56365384025,5.882352941176471
2020,Hoholitna,153,180,53.534585536269084,27,100,47593.841830189274,5.882352941176471
2020,Holitna,153,180,52.21926122474033,27,100,45513.60936536766,5.88235294117647
2020,Stony,153,180,56.23040728653219,27,100,55609.05073116313,5.88235294117647
2020,Swift,153,174,50.13390661474316,21,100,38095.347712373594,5.88235294117647
2020,Tatlawiksuk,153,174,54.53464468097719,21,100,15597.0790188422,5.88235294117647
2020,Takotna and Nixon Fork,153,183,54.06237426463774,30,100,26790.147700084668,5.88235294117647
2020,Big River,153,174,51.104093673531196,21,100,39688.0058831582,5.88235294117647
2020,Upper Kusko Main,153,177,51.491012032178084,24,100,36124.08028888324,5.88235294117647
2020,S. Fork Kusko,153,177,53.56183276865782,24,100,7950.5954836975525,5.882352941176471
2020,E. Fork Kuskokwim,153,165,52.32239414111337,12,100,1066.3817807964815,5.882352941176471
2020,N. Fork Kusko,153,171,57.75560182700779,18,100,1841.957290859885,5.88235294117647
2021,Lower Kusko,153,180,67.26554305105944,27,100,944.053760490485,6.25
2021,Kwethluk,153,180,50.02847803970985,27,100,20268.143849393062,6.25
2021,Kisaralik,153,180,50.2693663402623,27,100,28188.605554109356,6.25
2021,Tuluksak,153,180,52.48186092852906,27,100,22315.74101436405,6.25
2021,Aniak,153,180,54.3313601936733,27,100,33561.199185970254,6.25
2021,Holokuk,153,183,66.18874846737623,30,100,4282.74639609383,6.25
2021,Oskakawlik,153,180,54.96165301273703,27,100,5787.379803834947,6.25
2021,George,153,180,68.73407761772125,27,100,14505.100016332193,6.25
