year,mgmt_river,total_production,closure_production,protection_percentage,total_contribution_percent,closure_window
2018,Holokuk,5505.225038006484,321.0807946475917,5.832291912336782,1.3117821595558488,06-01_to_06-11
2018,N. Fork Kusko,1966.857913388625,541.9651972852466,27.554872855635782,0.4686618809135414,06-01_to_06-11
2018,E. Fork Kuskokwim,1223.6707131823982,317.2501275580009,25.926102842890558,0.2915756212764942,06-01_to_06-11
2018,Lower Kusko,1035.4099872680858,47.61340904395787,4.598507801685896,0.24671695339379945,06-01_to_06-11
2018,Johnson,0,0,NA,0,06-01_to_06-11
2019,Stony,53151.39148043581,12339.3826367578,23.215540163797467,11.607779665234212,06-01_to_06-11
2019,Holitna,49506.500428426385,6510.712955286212,13.151228422414993,10.811768666141507,06-01_to_06-11
2019,Hoholitna,48681.33437064839,9627.466975496274,19.776505923594808,10.631559916772405,06-01_to_06-11
2019,Aniak,34613.900831844,4178.280954906596,12.071106851564885,7.55936059281167,06-01_to_06-11
2019,Middle Kusko Main,32707.32032857258,6462.108316869159,19.757376183532735,7.142980780739353,06-01_to_06-11
2019,Upper Kusko Main,32134.890217690634,9513.649015065748,29.605357138666598,7.017967259629393,06-01_to_06-11
2019,Big River,30962.13516316342,13740.805689764204,44.37938668426217,6.761848240068965,06-01_to_06-11
2019,Swift,30236.85610101416,11728.346931719525,38.78824866096495,6.603453900527824,06-01_to_06-11
2019,Kisaralik,26356.244708210765,4916.467773697058,18.653900918462142,5.755963726528524,06-01_to_06-11
2019,Takotna and Nixon Fork,26090.997317105142,4900.968882074328,18.784137771771853,5.698036112839133,06-01_to_06-11
2019,Tuluksak,25036.027561286344,3516.4388422370366,14.045514343795373,5.467640329437336,06-01_to_06-11
2019,Kwethluk,18591.89506029508,3047.2070792324344,16.389975682145824,4.060300500288841,06-01_to_06-11
2019,George,15856.85352045422,1521.667567702838,9.59627687636765,3.4629923454981735,06-01_to_06-11
2019,Tatlawiksuk,12041.305891813028,5120.4073513222165,42.52368802293793,2.6297115048305058,06-01_to_06-11
2019,S. Fork Kusko,6532.464916778971,2188.213572560124,33.497517406325215,1.426630824006813,06-01_to_06-11
2019,Oskakawlik,6514.924624906835,902.4042966774333,13.851339019756317,1.42280018406222,06-01_to_06-11
2019,Holokuk,5546.392119738518,780.5265679000527,14.072689976648284,1.2112815087186153,06-01_to_06-11
2019,N. Fork Kusko,1385.8079117091602,657.6557180923792,47.45648459181272,0.3026478225575588,06-01_to_06-11
2019,Lower Kusko,1070.6507248719156,189.96935363865916,17.743354506334043,0.23382036418201765,06-01_to_06-11
2019,E. Fork Kuskokwim,876.6654851578895,408.48240649765205,46.59501410895439,0.19145575512494553,06-01_to_06-11
2019,Johnson,0,0,NA,0,06-01_to_06-11
2020,Stony,55609.05073116319,5635.1309386876865,10.133478030276413,11.738710769030051,06-01_to_06-11
2020,Hoholitna,47593.84183018931,2646.730820523667,5.561078321785773,10.04675203560825,06-01_to_06-11
2020,Holitna,45513.60936536765,2823.9035483068237,6.204525608236197,9.607628423249885,06-01_to_06-11
2020,Big River,39688.00588315822,7460.397123739094,18.797611413641082,8.37788122502289,06-01_to_06-11
2020,Swift,38095.347712373594,7268.3640525005485,19.079400737795975,8.041681391093768,06-01_to_06-11
2020,Upper Kusko Main,36124.080288883306,5727.359724765872,15.854686621678196,7.625559593859134,06-01_to_06-11
2020,Middle Kusko Main,33266.563653840196,4253.030465200951,12.78470030585799,7.022356322891134,06-01_to_06-11
2020,Aniak,30714.686488798714,5164.390014165629,16.814073671398276,6.483671566279613,06-01_to_06-11
2020,Takotna and Nixon Fork,26790.147700084697,1760.7870371750948,6.5725170942955575,5.655226823259816,06-01_to_06-11
2020,Kisaralik,23963.922469353103,2705.839294010419,11.291303823365533,5.058628965258591,06-01_to_06-11
2020,Tuluksak,23720.00156169037,2877.709575011471,12.131995723217798,5.007138840037526,06-01_to_06-11
2020,Kwethluk,18645.4628744968,1965.0678095210437,10.539120550387928,3.9359365599770846,06-01_to_06-11
2020,Tatlawiksuk,15597.079018842218,3565.8882421130174,22.86253879848405,3.292442453819713,06-01_to_06-11
2020,George,15070.094653723414,586.554256260718,3.89217367069288,3.1811994644035337,06-01_to_06-11
2020,S. Fork Kusko,7950.595483697549,1408.5415323804477,17.716176546380943,1.6783192591413962,06-01_to_06-11
2020,Oskakawlik,6093.631536715959,709.4636996672532,11.642707561041744,1.2863261861519737,06-01_to_06-11
2020,Holokuk,5257.448909155946,775.1187010697454,14.743247427851589,1.109813444323891,06-01_to_06-11
2020,N. Fork Kusko,1841.9572908598861,541.866222606032,29.417958021875258,0.3888252649886241,06-01_to_06-11
2020,Lower Kusko,1121.7545091273646,124.39697907365967,11.089501139641559,0.23679511812134071,06-01_to_06-11
2020,E. Fork Kuskokwim,1066.3817807964813,483.1039142425577,45.30309153272734,0.22510629348179234,06-01_to_06-11
2020,Johnson,0,0,NA,0,06-01_to_06-11
2021,Stony,51534.665143589875,6913.729064306703,13.415686402624594,11.57581771460812,06-01_to_06-11
2021,Holitna,46296.47699680235,2366.7803500723826,5.112225602470473,10.399205603651664,06-01_to_06-11
2021,Hoholitna,45233.33540029494,4277.759055518103,9.457094016308623,10.160400649904567,06-01_to_06-11
2021,Aniak,33561.199185970305,1608.4961450845785,4.792725480908869,7.538582485749787,06-01_to_06-11
2021,Big River,32539.399408267065,10698.871998924722,32.87974637972738,7.309063812550626,06-01_to_06-11
2021,Swift,31862.170093041874,9493.093161690062,29.794245445206453,7.1569432334764675,06-01_to_06-11
2021,Upper Kusko Main,31663.901380250252,7163.35164285977,22.623086008370947,7.112407725748011,06-01_to_06-11
2021,Middle Kusko Main,29828.987070251114,2824.788439872629,9.46994422981876,6.700245669095588,06-01_to_06-11
2021,Kisaralik,28188.605554109385,1494.226055789618,5.300815795663887,6.331779950722116,06-01_to_06-11
2021,Takotna and Nixon Fork,23634.156894361415,2953.8060452576688,12.49803857383371,5.308750746420757,06-01_to_06-11
2021,Tuluksak,22315.741014364048,853.8116669397068,3.8260511555055734,5.012605581678331,06-01_to_06-11
2021,Kwethluk,20268.14384939302,1023.1114953447964,5.047879583583259,4.552670284367076,06-01_to_06-11
2021,George,14505.100016332199,1034.7058297363963,7.133393279407631,3.2581640581806717,06-01_to_06-11
2021,Tatlawiksuk,12827.026054502758,4142.712492045874,32.29674964752745,2.88123178861718,06-01_to_06-11
2021,S. Fork Kusko,6619.108425767423,1721.2952656810987,26.00494137519028,1.4867971365763488,06-01_to_06-11
2021,Oskakawlik,5787.379803834946,234.945754952177,4.059622193734247,1.299972619745077,06-01_to_06-11
2021,Holokuk,4282.746396093827,199.2384516906503,4.652118833661739,0.9619989081319089,06-01_to_06-11
2021,N. Fork Kusko,1988.1523787598928,1083.8918987949216,54.51754656104366,0.4465826926645256,06-01_to_06-11
2021,E. Fork Kuskokwim,1312.0895319432675,685.9359277732399,52.27813430973235,0.29472412801560566,06-01_to_06-11
2021,Lower Kusko,944.0537604904854,76.43177420389604,8.096125178738308,0.21205521009555783,06-01_to_06-11
2021,Johnson,0,0,NA,0,06-01_to_06-11
2022,Stony,50794.986042324985,4799.649066105731,9.449060704744397,11.059346127256575,06-01_to_06-11
2022,Holitna,45330.59370422714,3438.7381989450755,7.5859103487197626,9.86961046728814,06-01_to_06-11
2022,Hoholitna,41606.67143322253,3748.355510580361,9.009025191059468,9.058818919639668,06-01_to_06-11
2022,Aniak,36084.006617656916,1822.615479254743,5.05103410097172,7.856395875576435,06-01_to_06-11
2022,Upper Kusko Main,33926.99280211381,3679.1672404925303,10.844365906380304,7.386759711733647,06-01_to_06-11
2022,Big River,33914.91021786193,3922.848488767225,11.56673705920997,7.384129029224118,06-01_to_06-11
2022,Swift,33865.78879755358,4278.034094269999,12.632317882343372,7.373434060452991,06-01_to_06-11
2022,Middle Kusko Main,33764.02419161091,2905.0742597457215,8.604052180686221,7.351277346014953,06-01_to_06-11
2022,Kisaralik,31141.738863508912,2499.3147368634613,8.025610733612869,6.780339870734586,06-01_to_06-11
2022,Takotna and Nixon Fork,24621.906998977665,2770.849371228213,11.25359368526273,5.360808477984797,06-01_to_06-11
2022,Tuluksak,23887.474766440868,1467.25128382597,6.14234571955378,5.200904107504799,06-01_to_06-11
2022,Kwethluk,20578.983932580584,1008.434412037734,4.900311965554255,4.480562433229545,06-01_to_06-11
2022,Tatlawiksuk,14231.17525285074,1776.9756728627285,12.486499823735715,3.0984848147764255,06-01_to_06-11
2022,George,13562.587906548066,1099.258302499145,8.105077807226003,2.9529165322513737,06-01_to_06-11
2022,S. Fork Kusko,7218.992807188064,927.4331590585148,12.847126792189833,1.571756316230579,06-01_to_06-11
2022,Oskakawlik,6333.941909719445,374.8280775981906,5.917769422908919,1.3790584738256495,06-01_to_06-11
2022,Holokuk,5403.854980940608,345.3206443238177,6.390264830232553,1.176555154595849,06-01_to_06-11
2022,N. Fork Kusko,1366.1424354622309,168.78895430993998,12.355150526660177,0.29744357130683713,06-01_to_06-11
2022,Lower Kusko,1033.9664849501253,109.96261782787877,10.635027288450551,0.2251205115307649,06-01_to_06-11
2022,E. Fork Kuskokwim,625.9184881650452,113.68431458770844,18.16279862909747,0.13627819884227177,06-01_to_06-11
2022,Johnson,0,0,NA,0,06-01_to_06-11
