year,mgmt_river,total_production,closure_production,protection_percentage,total_contribution_percent,closure_window
2017,Stony,51479.38541473646,2042.8745393796212,3.9683351363297916,11.516796232001763,06-01_to_06-11
2017,Holitna,44908.45038801231,1954.4759037739614,4.352133923319879,10.046768586045403,06-01_to_06-11
2017,Hoholitna,40988.16942515354,1444.5809000848371,3.524385012418558,9.169736417582184,06-01_to_06-11
2017,Aniak,39770.37460844517,2017.4679442102183,5.072790900445309,8.897295427010386,06-01_to_06-11
2017,Middle Kusko Main,31402.625567134495,1799.6650417859569,5.7309381278916325,7.025290548690366,06-01_to_06-11
2017,Swift,31065.383302919727,1032.9090730851772,3.324951966673779,6.949843835282856,06-01_to_06-11
2017,Upper Kusko Main,30657.560085779958,1033.0680916146225,3.3697009439893275,6.858606986733891,06-01_to_06-11
2017,Big River,29831.647233415955,739.5568764131036,2.4791017090892926,6.6738365208583446,06-01_to_06-11
2017,Kisaralik,28790.892559330532,2006.5472659821482,6.969381938566777,6.441002359914496,06-01_to_06-11
2017,Tuluksak,24155.561574864176,1693.037574921229,7.008893457823692,5.404001587937497,06-01_to_06-11
2017,Takotna and Nixon Fork,23668.902994231736,641.6845215224959,2.7110868707302513,5.29512795507368,06-01_to_06-11
2017,Kwethluk,21925.83221609394,672.4625647778084,3.066987643389013,4.905173980137079,06-01_to_06-11
2017,George,13134.333903231025,437.74712574222195,3.3328460275746217,2.9383693295468696,06-01_to_06-11
2017,Tatlawiksuk,12861.891608229227,424.9468266974759,3.303921690846692,2.8774194489055898,06-01_to_06-11
2017,S. Fork Kusko,6710.899675557063,230.03575645412968,3.427793106369672,1.501340069896658,06-01_to_06-11
2017,Oskakawlik,6304.010776114967,393.3206733849975,6.239213214470313,1.4103122437836317,06-01_to_06-11
2017,Holokuk,5080.039104499822,384.6391078890487,7.571577698060262,1.1364893878546056,06-01_to_06-11
2017,N. Fork Kusko,1687.0259450724016,98.61292033506591,5.8453707023950825,0.37741581199874374,06-01_to_06-11
2017,E. Fork Kuskokwim,1459.7391135127998,144.8049365880607,9.919918925758852,0.32656796087929496,06-01_to_06-11
2017,Lower Kusko,1111.2507597567133,46.799865883453364,4.2114586174680575,0.24860530986664903,06-01_to_06-11
2017,Johnson,0,0,NA,0,06-01_to_06-11
2018,Stony,47254.3687764496,4141.83983806184,8.7649881805765,11.25974642164056,06-01_to_06-11
2018,Holitna,39032.40438098509,1864.9326116522734,4.777908615234547,9.300621020587151,06-01_to_06-11
2018,Aniak,37298.36256246659,2493.925217759939,6.686420117191903,8.887434437704055,06-01_to_06-11
2018,Hoholitna,35768.62749615817,2178.359389062096,6.0901397161411035,8.522929961506112,06-01_to_06-11
2018,Middle Kusko Main,33011.000459551644,2485.0557155690267,7.527962439714493,7.865844025081027,06-01_to_06-11
2018,Kisaralik,29732.644568583837,2534.0554014550926,8.522805280942386,7.084679087997246,06-01_to_06-11
2018,Big River,28631.95463497547,5666.643021270063,19.79132439092354,6.822407262932488,06-01_to_06-11
2018,Swift,27377.517241431222,4979.778279275768,18.18929830401027,6.523500573056834,06-01_to_06-11
2018,Upper Kusko Main,26677.016747808524,3766.842644999034,14.120179481120108,6.356585679669104,06-01_to_06-11
2018,Kwethluk,26498.699488045924,1008.266596475241,3.80496634157495,6.314096335730827,06-01_to_06-11
2018,Tuluksak,22048.59396408618,1482.604520406075,6.724258802266545,5.253727505361418,06-01_to_06-11
2018,Takotna and Nixon Fork,21880.93012460851,1052.624441918616,4.810693311134777,5.213776652869276,06-01_to_06-11
2018,George,12101.210568777897,214.79081106106554,1.7749530911828213,2.8834701621752004,06-01_to_06-11
2018,Tatlawiksuk,11096.956338686161,2344.3825414390835,21.126356361934192,2.6441769864016145,06-01_to_06-11
2018,S. Fork Kusko,5802.59815200685,876.1181447537595,15.098721672648496,1.3826400705375412,06-01_to_06-11
2018,Oskakawlik,5731.199352056071,378.2440985556661,6.5997372508072125,1.3656272016098352,06-01_to_06-11
