year,total_annual_production,total_closure_production,overall_protection_pct,n_management_units
2017,446993.9762560921,19239.237510525636,4.304137982276316,20
2018,419675.24850852345,38696.37280224944,9.220551590729213,20
2019,457894.5587641232,102251.16288749773,22.330722418601777,20
2020,473723.66374231793,58483.64395102173,12.345518796551806,20
2021,445192.4383584205,60850.982516539,13.668467223054767,20
2022,459294.6586339041,41256.58388518469,8.982596054544933,20
