"mgmt_river","mean_closure_pct","median_closure_pct","min_closure_pct","max_closure_pct","n_years"
"Johnson",0,0,0,0,5
"Holitna",5.8,4.7,3.1,11.8,5
"Hoholitna",7.9,5.6,2.7,18.4,5
"Lower Kusko",8.5,7.6,2.9,17.8,5
"Kwethluk",7.1,4.3,2.5,15.2,5
"Kisaralik",8.3,5.5,3.1,17.1,5
"Tuluksak",7.6,6.3,3.1,12.2,5
"Aniak",8.2,4.7,3.9,16.8,5
"Holokuk",8.2,7.3,3.2,14.7,5
"Oskakawlik",7.3,5.7,3.3,12.2,5
"George",4.6,3.9,1.7,8.4,5
"Middle Kusko Main",9.5,7.7,4.7,17.7,5
"Stony",10.6,10.1,2.9,22.1,5
"Swift",19.8,19.1,2.9,36.2,5
"Tatlawiksuk",22.2,22.9,3.1,39.5,5
"Takotna and Nixon Fork",8.2,6.6,0.9,18.3,5
"Big River",21.4,18.8,2.4,41.3,5
"Upper Kusko Main",15.5,15.9,2.8,27.4,5
"S. Fork Kusko",17.5,17.7,2.7,31.7,5
"E. Fork Kuskokwim River",30.8,25.7,9.9,52,5
"N. Fork Kusko",28.2,29.4,5.8,52.1,5
