"mgmt_river","mean_closure_pct","median_closure_pct","min_closure_pct","max_closure_pct","n_years"
"N. Fork Kusko",22.2,26,5.8,31,4
"E. Fork Kuskokwim",25.5,23.5,9.9,45.3,4
"S. Fork Kusko",16.1,15,2.7,31.7,4
"Takotna and Nixon Fork",7.4,5.2,0.9,18.3,4
"Big River",19.6,17.3,2.4,41.3,4
"Upper Kusko Main",14.4,13.6,2.8,27.4,4
"Tatlawiksuk",20.7,20,3.1,39.5,4
"Kwethluk",7.8,6.7,2.5,15.2,4
"Stony",10.4,8.2,2.9,22.1,4
"Swift",18.3,17,2.9,36.2,4
"George",3.9,2.8,1.7,8.4,4
"Oskakawlik",8.3,8.7,3.8,12.2,4
"Middle Kusko Main",10,8.8,4.7,17.7,4
"Holokuk",9.3,9.6,3.2,14.7,4
"Aniak",9.3,7.9,4.5,16.8,4
"Tuluksak",8.7,9.2,4,12.2,4
"Kisaralik",9.6,8.4,4.3,17.1,4
"Hoholitna",7.7,4.9,2.7,18.4,4
"Lower Kusko",8.7,7,2.9,17.8,4
NA,6,4.7,3.1,11.8,4
